ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
5611,5600.0,19110,1425,3880.0,32800.0,23773.0,8870.0,1560.0,24384.0,1976.0,3283,2031.0,8750.0,9328.0,2150.0,9799,5851.0,5575,3667.0,5265.0,2838.0,68300,25425,1338.0,11250.0,29000,6280.0,5635.0,12461.0
5635,5745.0,18729,1405,3990.0,31265.0,23881.0,8800.0,1550.0,24404.0,2060.0,3325,2017.0,8839.0,9372.0,2075.0,9750,5800.0,5610,3697.0,5305.0,2770.0,69207,25337,1322.0,11260.0,29500,6234.0,5500.0,12700.0
5698,5740.0,18350,1388,3990.0,31915.0,24549.0,9030.0,1566.0,24474.0,1995.0,3342,2067.0,8712.0,9592.0,2117.0,9835,5911.0,5626,3709.0,5340.0,2720.0,71700,25755,1340.0,11400.0,30110,6265.0,5450.0,12730.0
5640,5799.0,18800,1305,3980.0,32790.0,24240.0,9300.0,1619.0,24285.0,2000.0,3309,2028.0,8715.0,9374.0,2071.0,9760,5800.0,5684,3731.0,5384.0,2801.0,70450,25817,1301.0,11601.0,30800,6325.0,5450.0,12625.0
5712,5850.0,18600,1311,3973.0,31905.0,24250.0,9190.0,1595.0,25268.0,2000.0,3269,2026.0,8640.0,9284.0,2062.0,9551,5670.0,5581,3678.0,5260.0,2775.0,72000,25525,1334.0,11410.0,30000,6408.0,5350.0,12362.0
5850,5990.0,18845,1327,3855.0,31900.0,23994.0,9000.0,1586.0,25983.0,1967.0,3319,2033.0,8533.0,9573.0,2056.0,9550,5780.0,5410,3650.0,5125.0,2745.0,75000,25250,1335.0,11360.0,30710,6280.0,5365.0,12538.0
5951,5710.0,19300,1327,3785.0,33133.0,23800.0,9100.0,1585.0,26532.0,1999.0,3347,2060.0,8763.0,9508.0,2047.0,9752,6000.0,5470,3712.0,5240.0,2775.0,74150,25900,1381.0,11425.0,29990,6229.0,5320.0,12705.0
6076,5950.0,19300,1340,3754.0,33226.0,24253.0,9550.0,1650.0,25983.0,1990.0,3348,2050.0,9050.0,9236.0,2118.0,10090,6200.0,5770,3800.0,5499.0,2783.0,74000,25828,1395.0,12030.0,30050,6225.0,5325.0,12780.0
5902,6000.0,18598,1334,3865.0,32660.0,24214.0,9400.0,1596.0,24873.0,2050.0,3346,2054.0,8850.0,8989.0,2137.0,10030,6200.0,5863,4100.0,5435.0,2785.0,72500,25300,1396.0,12103.0,30010,6350.0,5325.0,12820.0
6030,6000.0,18337,1340,3824.0,30924.0,23850.0,9254.0,1639.0,25023.0,2135.0,3325,2035.0,8950.0,9152.0,2106.0,10100,6071.0,5725,3850.0,5437.0,2710.0,72350,24850,1407.0,11955.0,29700,6501.0,5450.0,12650.0
5840,6199.0,18400,1345,3649.0,31150.0,23810.0,9200.0,1625.0,24784.0,2200.0,3344,2050.0,9152.0,9001.0,2100.0,10140,6151.0,5762,3950.0,5510.0,2772.0,72387,24889,1403.0,12285.0,29500,6430.0,5599.0,12550.0
5840,6475.0,18493,1345,3830.0,30496.0,24178.0,9343.0,1605.0,24784.0,2120.0,3344,2050.0,9030.0,9001.0,2131.0,9790,6151.0,5725,3940.0,5485.0,2795.0,72387,25106,1403.0,12250.0,29250,6450.0,5649.0,12610.0
6098,6400.0,18493,1365,3836.0,30496.0,24178.0,9343.0,1605.0,24804.0,2140.0,3339,2079.0,9030.0,8800.0,2131.0,9790,6276.0,5725,3940.0,5485.0,2795.0,70000,25106,1391.0,12250.0,29250,6430.0,5649.0,12610.0
6081,6400.0,17950,1360,3836.0,29200.0,23380.0,9150.0,1625.0,24953.0,2140.0,3311,2049.0,8650.0,8801.0,2085.0,9900,6302.0,5570,3845.0,5275.0,2880.0,68280,24338,1424.0,11965.0,28495,6430.0,5655.0,12600.0
5919,6250.0,18150,1355,3681.0,29311.0,23400.0,9163.0,1613.0,25283.0,2145.0,3320,2011.0,8800.0,8756.0,2069.0,9915,6230.0,5685,3710.0,5320.0,2815.0,66701,24150,1383.0,12000.0,28790,6431.0,5695.0,12450.0
